Question;target
Premise 1: Either not J or (H implies not U). Premise 2: It is not the case that (J and (not H iff not J)). Premise 3: ((H implies not H) implies not H) if and only if not H. Conclusion : It is not the case that (J and not U).;0
Premise 1: It is not the case that W. Premise 2: Either (not not E iff E) or W. Premise 3: It is not the case that not E. Conclusion : It is not the case that K.;0
Premise 1: T and not not T. Premise 2: It is not the case that T. Premise 3: K. Conclusion : T.;1
Premise 1: Either C or M. Premise 2: C and (M and not S). Premise 3: If (not S and not S) then not S. Conclusion : S.;0
Premise 1: Not J if and only if S. Premise 2: If J then not S. Premise 3: Not J and not C. Conclusion : Either C or (not J or J).;1
Premise 1: U if and only if not U. Premise 2: It is not the case that not U. Premise 3: It is not the case that U. Conclusion : Either U or H.;1
Premise 1: Not (O and O) and U. Premise 2: If not C then not O. Premise 3: U. Conclusion : It is not the case that (not O implies U).;0
Premise 1: It is not the case that not (N or not R). Premise 2: It is not the case that A. Premise 3: A and A. Conclusion : If R then N.;1
Premise 1: If not (N implies C) then not N. Premise 2: (V and not V) and not V. Premise 3: If N then C. Conclusion : Either not N or not V.;1
Premise 1: It is not the case that not (P or P). Premise 2: If not Y then not Y. Premise 3: If not E then (E or E). Conclusion : Either P or (P or E).;1
Premise 1: If B then (T and not K). Premise 2: It is not the case that not B. Premise 3: If (not B implies (not B implies K)) then not K. Conclusion : It is not the case that (T implies not T).;1
Premise 1: L. Premise 2: If (G implies not L) then L. Premise 3: Y. Conclusion : Either (not L and not L) or not G.;0
Premise 1: Either U or (M or B). Premise 2: B. Premise 3: U. Conclusion : If (M and M) then U.;1
Premise 1: (C or C) and S. Premise 2: S and not P. Premise 3: It is not the case that P. Conclusion : S.;1
Premise 1: Y and B. Premise 2: M. Premise 3: B. Conclusion : Y and (Y and B).;1
Premise 1: W. Premise 2: M and ((not A implies A) iff W). Premise 3: Not (A implies A) if and only if not M. Conclusion : Not M and A.;0
Premise 1: It is not the case that O. Premise 2: C. Premise 3: It is not the case that S. Conclusion : C.;1
Premise 1: Either (V and V) or not V. Premise 2: It is not the case that P. Premise 3: V. Conclusion : Not P if and only if not G.;0
Premise 1: It is not the case that not (C and X). Premise 2: It is not the case that ((M implies M) implies M). Premise 3: It is not the case that X. Conclusion : If not not C then not X.;1
Premise 1: It is not the case that L. Premise 2: V and not E. Premise 3: It is not the case that (not L or not L). Conclusion : Either not V or L.;1
Premise 1: O. Premise 2: Not not X and (O implies O). Premise 3: It is not the case that O. Conclusion : If X then D.;1
Premise 1: Not G if and only if G. Premise 2: Not G and not N. Premise 3: G. Conclusion : G.;1
Premise 1: It is not the case that ((not I or not Y) iff E). Premise 2: Not I and (not I implies E). Premise 3: It is not the case that Y. Conclusion : Either not Y or not Y.;1
Premise 1: Not L if and only if (not L implies G). Premise 2: It is not the case that (L iff W). Premise 3: (not W or not not G) and L. Conclusion : If L then not L.;1
Premise 1: Not W if and only if J. Premise 2: It is not the case that (G or not J). Premise 3: Either not not W or J. Conclusion : (W and not J) and not W.;0
Premise 1: Not (P iff X) and P. Premise 2: Not F and X. Premise 3: It is not the case that (P or X). Conclusion : It is not the case that X.;1
Premise 1: It is not the case that V. Premise 2: Either N or not N. Premise 3: If E then not V. Conclusion : If N then (not E or E).;1
Premise 1: Not J and (T and (E implies T)). Premise 2: T. Premise 3: T if and only if not T. Conclusion : J.;1
Premise 1: Either F or F. Premise 2: It is not the case that (not F or F). Premise 3: It is not the case that (X or X). Conclusion : It is not the case that X.;1
Premise 1: Either not C or (M implies M). Premise 2: C and (M iff not M). Premise 3: (C implies U) and (C iff C). Conclusion : If U then M.;1
Premise 1: It is not the case that V. Premise 2: It is not the case that not B. Premise 3: It is not the case that (not B and not N). Conclusion : Either (V or V) or not V.;1
Premise 1: F. Premise 2: It is not the case that (F implies not not F). Premise 3: Either (M or not F) or U. Conclusion : F.;1
Premise 1: C. Premise 2: If C then U. Premise 3: U. Conclusion : I.;0
Premise 1: I. Premise 2: It is not the case that not (Y or I). Premise 3: Either not I or not Y. Conclusion : Y.;0
Premise 1: It is not the case that ((Y and Y) implies Y). Premise 2: If not Y then L. Premise 3: (L iff B) and B. Conclusion : Either B or Y.;1
Premise 1: E if and only if E. Premise 2: M. Premise 3: X. Conclusion : E.;0
Premise 1: It is not the case that (G implies (T or G)). Premise 2: It is not the case that (not G or K). Premise 3: It is not the case that (not T iff K). Conclusion : It is not the case that K.;1
Premise 1: If (not R or R) then B. Premise 2: R. Premise 3: If B then (not P implies P). Conclusion : It is not the case that B.;0
Premise 1: If (W implies not P) then P. Premise 2: Not P and W. Premise 3: P and W. Conclusion : P if and only if P.;1
Premise 1: It is not the case that N. Premise 2: It is not the case that not H. Premise 3: U if and only if U. Conclusion : H.;1
Premise 1: Either W or not N. Premise 2: It is not the case that not N. Premise 3: B and (not N or (B implies B)). Conclusion : It is not the case that not B.;1
Premise 1: G. Premise 2: If (T iff T) then G. Premise 3: Either T or not K. Conclusion : It is not the case that T.;0
Premise 1: Not X if and only if (D implies O). Premise 2: It is not the case that (not X or not X). Premise 3: If (not O implies not X) then (D and O). Conclusion : Either X or D.;1
Premise 1: Either W or K. Premise 2: It is not the case that not H. Premise 3: If (not H and H) then not H. Conclusion : Either (not K implies H) or not K.;1
